epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.467,1.38813,2.6084,1.4382,0.04824,0.79047,0.56038,0.36094,1.02262,2.70069,1.28122,0.00014,0.00014,0.00014
2,453.643,1.14039,1.64104,1.24383,0.79312,0.71952,0.8259,0.54463,1.09481,1.87731,1.1876,0.00029604,0.00029604,0.00029604
3,678.672,1.07215,1.23839,1.16504,0.7988,0.67418,0.81879,0.55324,1.0848,1.8963,1.17,0.000447856,0.000447856,0.000447856
4,910.482,1.08346,1.12095,1.13929,0.74765,0.84111,0.7852,0.49815,1.22613,1.66207,1.27004,0.000595448,0.000595448,0.000595448
5,1129.82,1.12019,1.07424,1.14447,0.84718,0.73088,0.85836,0.57355,1.21094,1.73121,1.2772,0.000738816,0.000738816,0.000738816
6,1351.74,1.07512,1.01027,1.13738,0.81099,0.80238,0.87277,0.59815,1.13632,1.46664,1.22216,0.00087796,0.00087796,0.00087796
7,1572.88,1.02652,0.98973,1.13811,0.86161,0.81611,0.89477,0.62563,1.09889,1.46153,1.19199,0.00101288,0.00101288,0.00101288
8,1794.32,1.02476,0.9957,1.13218,0.88854,0.79444,0.90272,0.62353,1.14245,1.45152,1.22046,0.00114358,0.00114358,0.00114358
9,2015.62,0.9886,0.90095,1.08436,0.87454,0.85143,0.90583,0.58968,1.16452,1.24245,1.21371,0.00127005,0.00127005,0.00127005
10,2237.73,1.04258,0.88895,1.1026,0.79935,0.79519,0.85267,0.58932,1.11935,1.31845,1.27164,0.0013923,0.0013923,0.0013923
11,2457.41,1.01192,0.8899,1.09325,0.83906,0.81802,0.83796,0.56256,1.14998,1.25994,1.25675,0.00151032,0.00151032,0.00151032
12,2679.73,1.02595,0.82743,1.09603,0.78086,0.78908,0.82661,0.56786,1.14363,1.29041,1.28574,0.00162412,0.00162412,0.00162412
13,2900.88,1.02403,0.83598,1.09831,0.83192,0.81132,0.8435,0.56001,1.21437,1.39598,1.319,0.0016832,0.0016832,0.0016832
14,3122.98,1.03399,0.80218,1.09641,0.90202,0.85936,0.91501,0.63299,1.08015,1.005,1.22828,0.0016568,0.0016568,0.0016568
15,3340.66,0.986,0.82154,1.10357,0.88125,0.75169,0.84266,0.54906,1.23581,1.29592,1.34401,0.0016304,0.0016304,0.0016304
16,3563.32,0.9904,0.77222,1.09532,0.92228,0.84845,0.91262,0.64424,1.08176,1.03657,1.2076,0.001604,0.001604,0.001604
17,3787.18,0.96564,0.754,1.07858,0.92587,0.88083,0.93466,0.65047,1.05216,0.93451,1.18437,0.0015776,0.0015776,0.0015776
18,4011.72,0.98498,0.71828,1.06187,0.895,0.8972,0.91561,0.63938,1.09135,1.05344,1.23511,0.0015512,0.0015512,0.0015512
19,4234.98,0.98222,0.69865,1.05988,0.88721,0.85402,0.88924,0.61496,1.10411,1.25051,1.2895,0.0015248,0.0015248,0.0015248
20,4454.08,0.96557,0.69228,1.09069,0.91233,0.8719,0.92357,0.6376,1.05126,1.05215,1.24864,0.0014984,0.0014984,0.0014984
21,4673.73,0.93176,0.67872,1.06571,0.91484,0.9136,0.95214,0.67974,1.02849,0.84158,1.20181,0.001472,0.001472,0.001472
22,4896.88,0.97773,0.67158,1.06994,0.91497,0.90831,0.93167,0.6575,1.03786,0.81629,1.16679,0.0014456,0.0014456,0.0014456
23,5116.02,0.95065,0.63973,1.05519,0.91194,0.88441,0.92512,0.65658,1.0309,0.81294,1.16382,0.0014192,0.0014192,0.0014192
24,5335.76,0.95311,0.6414,1.06381,0.9153,0.91216,0.94312,0.68604,1.01572,0.77966,1.1742,0.0013928,0.0013928,0.0013928
25,5555.03,0.92175,0.62657,1.05213,0.9234,0.91261,0.95295,0.67094,1.06349,0.76771,1.194,0.0013664,0.0013664,0.0013664
26,5776.03,0.93326,0.6124,1.03705,0.92701,0.91063,0.94569,0.67397,1.00046,0.76704,1.17255,0.00134,0.00134,0.00134
27,5994.82,0.90943,0.62684,1.0481,0.91829,0.84824,0.90156,0.66297,0.99108,0.90499,1.17244,0.0013136,0.0013136,0.0013136
28,6213.79,0.86784,0.58491,1.02631,0.91163,0.9146,0.94002,0.68442,1.00173,0.72865,1.15624,0.0012872,0.0012872,0.0012872
29,6431.63,0.89187,0.58241,1.0265,0.94098,0.90247,0.94935,0.67735,1.02614,0.74805,1.17651,0.0012608,0.0012608,0.0012608
30,6652.01,0.8952,0.56705,1.02805,0.93879,0.90169,0.9486,0.68947,1.00289,0.72605,1.16732,0.0012344,0.0012344,0.0012344
31,6871.26,0.89081,0.58247,1.04037,0.91646,0.91261,0.94105,0.6782,1.02822,0.72871,1.15853,0.001208,0.001208,0.001208
32,7089.01,0.88179,0.58249,1.03445,0.90779,0.92254,0.94113,0.67083,1.04107,0.72044,1.14216,0.0011816,0.0011816,0.0011816
33,7308.16,0.88706,0.55231,1.01661,0.91722,0.92254,0.94674,0.68504,1.02132,0.72124,1.15399,0.0011552,0.0011552,0.0011552
34,7525.62,0.91622,0.55677,1.04731,0.92118,0.92842,0.94964,0.67233,1.06659,0.70822,1.17319,0.0011288,0.0011288,0.0011288
35,7742.98,0.89846,0.55063,1.03291,0.90972,0.93247,0.94895,0.69242,1.0007,0.68927,1.17119,0.0011024,0.0011024,0.0011024
36,7960.58,0.89137,0.5445,1.0236,0.90672,0.90742,0.94247,0.69245,1.00169,0.71317,1.17218,0.001076,0.001076,0.001076
37,8175.42,0.8909,0.53049,1.04234,0.91738,0.90413,0.9548,0.68508,1.02626,0.69429,1.17277,0.0010496,0.0010496,0.0010496
38,8390.29,0.9081,0.54052,1.04229,0.90042,0.93545,0.95546,0.6849,1.01999,0.67782,1.17448,0.0010232,0.0010232,0.0010232
39,8605.36,0.86183,0.53518,1.027,0.9081,0.91162,0.94598,0.66997,1.07694,0.72711,1.18896,0.0009968,0.0009968,0.0009968
40,8820.58,0.87584,0.52614,1.01471,0.92153,0.93302,0.95413,0.69393,1.00993,0.67242,1.17075,0.0009704,0.0009704,0.0009704
41,9038.15,0.86055,0.5043,1.01338,0.92832,0.92593,0.96269,0.6856,1.01253,0.64173,1.18468,0.000944,0.000944,0.000944
42,9254.3,0.85893,0.51783,1.01996,0.90969,0.94023,0.95496,0.67449,1.04594,0.65224,1.17406,0.0009176,0.0009176,0.0009176
43,9473.95,0.865,0.50907,1.00284,0.93398,0.91312,0.95284,0.69584,1.0071,0.6541,1.15891,0.0008912,0.0008912,0.0008912
44,9692.33,0.85838,0.50862,1.00482,0.93121,0.90065,0.94345,0.6918,0.99732,0.66977,1.14833,0.0008648,0.0008648,0.0008648
45,9907.64,0.83743,0.48978,1.02956,0.93403,0.92803,0.95903,0.70022,1.00268,0.63229,1.15787,0.0008384,0.0008384,0.0008384
46,10123.3,0.82924,0.48987,1.00904,0.93894,0.93151,0.95778,0.69651,0.9941,0.62573,1.16885,0.000812,0.000812,0.000812
47,10338.3,0.81005,0.47566,0.99231,0.92426,0.92552,0.95054,0.68094,1.03135,0.65119,1.17073,0.0007856,0.0007856,0.0007856
48,10556,0.81966,0.47978,0.99688,0.92695,0.90268,0.94086,0.67814,1.0044,0.6791,1.15385,0.0007592,0.0007592,0.0007592
49,10775.3,0.81082,0.4758,0.99136,0.91366,0.90372,0.94093,0.69081,1.00485,0.69764,1.16372,0.0007328,0.0007328,0.0007328
50,10991.9,0.80039,0.47923,0.98883,0.91962,0.92056,0.94739,0.7005,0.99053,0.66534,1.15077,0.0007064,0.0007064,0.0007064
51,11208.6,0.77359,0.47253,0.98486,0.91517,0.9424,0.95891,0.7082,0.97856,0.62272,1.15282,0.00068,0.00068,0.00068
52,11426.1,0.7975,0.46324,0.9934,0.9244,0.94717,0.96733,0.69647,0.97363,0.60522,1.15213,0.0006536,0.0006536,0.0006536
53,11643.9,0.78351,0.46963,0.98909,0.92445,0.92949,0.95971,0.69711,0.98221,0.63086,1.15311,0.0006272,0.0006272,0.0006272
54,11860.9,0.77737,0.43665,0.99467,0.90792,0.94638,0.95451,0.70101,0.97482,0.62399,1.17232,0.0006008,0.0006008,0.0006008
55,12076.1,0.78846,0.452,1.00155,0.91131,0.93644,0.94734,0.69691,0.99985,0.64355,1.1639,0.0005744,0.0005744,0.0005744
56,12291.2,0.77159,0.44388,0.98433,0.91515,0.92116,0.94454,0.68901,1.01366,0.65178,1.18728,0.000548,0.000548,0.000548
57,12509.4,0.77296,0.44149,0.98028,0.91915,0.92254,0.94877,0.69465,0.99793,0.63011,1.16591,0.0005216,0.0005216,0.0005216
58,12725.7,0.76146,0.44207,0.97779,0.92427,0.90903,0.94116,0.6718,1.0472,0.67436,1.1675,0.0004952,0.0004952,0.0004952
59,12943.6,0.79754,0.45315,0.98432,0.92263,0.92364,0.94702,0.6926,1.00174,0.63701,1.16142,0.0004688,0.0004688,0.0004688
60,13160,0.74167,0.42397,0.97207,0.92892,0.93148,0.95323,0.70398,0.97951,0.6062,1.1518,0.0004424,0.0004424,0.0004424
